1264,003 Ennis No. 3 Urban,Clare,Southern,5,4.97,14.92,8.84,170,67.46,68.65,3.97,73.83,1.22
1265,004 Ennis No. 4 Urban,Clare,Southern,21,2.13,13.99,5.56,1106,82.29,84,3.2,82.31,3
1266,005 Kilrush Urban,Clare,Southern,12,1.24,10.84,3.43,2164,86.28,87.04,3.31,91.41,2.97
1267,006 Abbey,Clare,Southern,10,3.21,17.63,10.9,380,86.96,90.85,0,79.91,0
1268,007 Carran,Clare,Southern,1,4.48,14.93,5.97,90,87.38,88.35,0,71.43,0
1283,024 Rath,Clare,Southern,6,0.51,11.62,5.56,224,82.66,88.56,0,89.09,7.14
1284,025 Ruan,Clare,Southern,6,2.51,14.82,5.64,649,90.26,93.32,0,91.7,0
1285,026 Clareabbey,Clare,Southern,28,1.87,18.62,7.96,2592,89.41,93.31,1.28,93.57,5
1286,027 Clenagh,Clare,Southern,86,1.21,13.1,4.35,7109,71.4,80.8,5.82,82.69,3.12
1287,028 Crusheen,Clare,Southern,9,2.31,23.13,10.32,735,85.27,91.07,0.58,88.9,0
1288,029 Doora,Clare,Southern,14,1.97,22.48,11.28,1604,86.05,90.72,2.79,89.7,6.9
1401,144 Kilkishen,Clare,Southern,12,0.64,13.44,5.6,826,87.5,91.95,1.17,90.49,1.67
1402,145 Killanena,Clare,Southern,4,0.56,12.36,2.81,214,85.26,88.45,0,85.49,0
1403,146 Killuran,Clare,Southern,4,1.04,16.26,5.88,362,87.86,90.78,1.46,87.86,4.55
1404,147 Kiltannon,Clare,Southern,2,2.61,20,11.3,162,82.23,88.32,0,77.78,0
1405,148 Kyle,Clare,Southern,6,0.94,20.75,10.38,272,86.35,91.43,0.32,89.52,0
1406,149 Loughea,Clare,Southern,1,0.98,7.84,4.9,138,81.66,86.39,0,84.02,0
1407,150 Newgrove,Clare,Southern,7,0,21.11,5.56,228,78.08,85.27,0,78.84,0
1408,151 Quin,Clare,Southern,18,2.01,27.12,10.49,1194,83.21,89.62,1.95,89.27,2.88
1409,152 Rathclooney,Clare,Southern,2,2.02,18.18,6.06,131,89.12,91.84,0,94.63,0
1410,153 Rossroe,Clare,Southern,7,1.65,24.94,9.18,642,87.35,93.47,1.09,91.41,2.27
1411,154 Toberbreeda,Clare,Southern,3,0.88,9.73,7.96,133,83.65,88.05,1.89,87.5,14.29
1412,155 Tulla,Clare,Southern,13,2.01,20.26,8.62,909,84.64,91.25,0.84,88.88,0
1434,022 Fair Hill B,Cork City,Southern,1,1.26,3,2.21,750,96.77,98.45,0.13,96.01,0
1435,023 Fair Hill C,Cork City,Southern,17,0.43,5.05,1.76,3473,93.66,94.44,0.78,93.97,2.34
1436,024 Farranferris A,Cork City,Southern,24,1.36,7.67,3.67,1381,76.59,75.87,6.6,79.08,5.17
1437,025 Farranferris B,Cork City,Southern,1,0.33,2.66,0.83,857,96.73,97.52,0.23,95.94,4.76
1438,026 Farranferris C,Cork City,Southern,2,0.69,6.45,2.76,580,95.55,96.21,0.82,93.75,0
1439,027 Gillabbey A,Cork City,Southern,50,5.73,23.2,16.12,1251,70.08,73.28,3.19,63.47,0.54
1440,028 Gillabbey B,Cork City,Southern,11,5.21,13.83,10.22,759,86.55,89.05,1.37,72.2,1.22
1441,029 Gillabbey C,Cork City,Southern,13,4.12,24.87,16.3,1272,84.24,88.68,0.2,76.65,1.38
1442,030 Glasheen A,Cork City,Southern,10,3.4,24.03,19.42,525,76.2,79.83,1.02,73.97,0
1443,031 Glasheen B,Cork City,Southern,13,6.63,28.24,16.43,603,85.9,90.46,1.85,75.52,0
1444,032 Glasheen C,Cork City,Southern,36,2.32,12.73,9.14,2421,91.64,93.94,0.61,86.27,2.11
1445,033 Greenmount,Cork City,Southern,34,1.76,15.33,9.54,1784,87.75,90.21,2.41,85.48,0.61
1446,034 Gurranebraher A,Cork City,Southern,4,1.17,3.31,1.95,713,94.06,94.46,1.45,93.05,0
1447,035 Gurranebraher B,Cork City,Southern,7,0.93,6.5,1.86,507,89.73,84.96,1.06,81.42,2.63
1448,036 Gurranebraher C,Cork City,Southern,7,0.84,5.44,2.37,808,83.13,84.26,3.29,85.19,2.96
1449,037 Gurranebraher D,Cork City,Southern,7,0.48,6.74,1.93,831,94,93.89,1.47,94.03,0
1450,038 Gurranebraher E,Cork City,Southern,10,0.26,4.86,2.17,1045,94.83,96.1,0.09,93.59,2.63
1451,039 Knocknaheeny,Cork City,Southern,13,0.46,3.19,1.46,3988,93,90.9,1.07,89.75,3.38
1452,040 Knockrea A,Cork City,Southern,25,7.15,33.2,17.53,1155,80.1,83.56,7.28,80.03,0
1453,041 Knockrea B,Cork City,Southern,16,4.16,25.66,17.75,901,84.84,89.36,1.69,80.97,2.33
1454,042 Mahon A,Cork City,Southern,76,3.06,18.15,10.65,4131,84.32,87.39,3.39,82.8,2.85
1455,043 Mahon B,Cork City,Southern,62,1.97,13.66,8.98,3924,81.72,85.09,4.85,85.71,3.2
1456,044 Mahon C,Cork City,Southern,53,2.63,20.7,13.26,3005,90.79,93.63,1.66,88.2,2.38
1457,045 Mardyke,Cork City,Southern,6,4.1,23.03,17.67,408,70.83,74.31,3.13,62.89,0.97
1458,046 Mayfield,Cork City,Southern,20,0.78,5.47,2.73,2644,91.58,93.14,1.28,89.83,4.35
1459,047 Montenotte A,Cork City,Southern,46,3.75,21.23,14.57,1383,85.95,89.25,2.49,79.74,1.49
1460,048 Montenotte B,Cork City,Southern,26,1.5,13.97,6.64,2251,90.47,93.25,1.89,91.22,2.08
1461,049 Pouladuff A,Cork City,Southern,10,1.31,7.68,4.58,757,94.86,96.49,0.88,92.12,0
1574,089 Firmount,Cork County,Southern,5,1.44,14.59,6.46,628,94.29,95.95,0,94.14,0
1575,090 Glenville,Cork County,Southern,7,1.52,17.68,8.08,617,97.47,97.79,0,92.61,0
1576,091 Greenfort,Cork County,Southern,9,0.22,18.46,8.57,698,95.1,96.46,0,91.44,0
1577,092 Inishkenny,Cork County,Southern,60,2.59,26.07,13.73,4112,75.13,77.67,8.84,81.31,3.07
1578,093 Killeagh,Cork County,Southern,2,1.55,15.72,7.22,568,94.04,96.36,0,91.07,0
